Gene,Contrast,Estimate,Pr(>|t|),FDR
CDK5RAP3,Brain - Breast,2.646799512,8.43E-05,0.009137024
BTG1,Brain - Breast,-1.005866141,8.34E-05,0.009137024
RPS13,Brain - Breast,-0.720917755,8.60E-05,0.009181084
RPS7,Brain - Breast,-0.857276032,0.000102749,0.010811291
RPS8,Brain - Breast,-0.784561491,0.000115697,0.011997289
HLA-C,Brain - Breast,-1.053186006,0.000132776,0.01354279
PPP1CB,Brain - Breast,0.77400445,0.000134387,0.01354279
RPS17,Brain - Breast,-0.621006685,0.000141675,0.013934892
RPL36A,Brain - Breast,-0.704342742,0.000142173,0.013934892
RPS21,Brain - Breast,-0.702185688,0.00014981,0.014485029
RPL23,Brain - Breast,-0.688639378,0.000157048,0.014982351
RPL27,Brain - Breast,-0.685700632,0.000159957,0.015059138
IGHG2,Brain - Breast,-5.127762269,0.000170161,0.015811746
RPL5,Brain - Breast,-0.755319128,0.00018686,0.017140805
LAPTM5,Brain - Breast,-1.256068414,0.000213674,0.0193524
SORT1,Brain - Breast,5.446621617,0.000231977,0.020747444
RPL10A,Brain - Breast,-0.754855908,0.000248638,0.021962993
DDX5,Brain - Breast,0.977251072,0.000262191,0.022877784
RPL28,Brain - Breast,-0.784207829,0.00026805,0.023107203
EEF1D,Brain - Breast,-0.627999762,0.000297556,0.025345403
CD74,Brain - Breast,-1.505750146,0.000305216,0.025692036
FARP1,Brain - Breast,2.528325149,0.000342495,0.028494782
FGD2,Brain - Breast,-5.102923979,0.00035992,0.029600312
RPL35,Brain - Breast,-0.663120048,0.000365248,0.029697128
PTBP1,Brain - Breast,-0.479552749,0.000369796,0.02972912
PLPP2,Brain - Breast,5.851099819,0.000417461,0.033188169
IGHG3,Brain - Breast,-6.071995235,0.000432299,0.033990124
COL1A2,Brain - Breast,-1.470314935,0.000468022,0.036398864
DGCR2,Brain - Breast,4.870937506,0.000487679,0.037269692
MOCS3,Brain - Breast,2.390462234,0.000489637,0.037269692
CSAD,Brain - Breast,5.742510983,0.000514067,0.038717326
IGHA1,Brain - Breast,-6.810124859,0.000520721,0.038809998
HNRNPA1,Brain - Breast,-0.656240035,0.000526423,0.038830484
RPS15,Brain - Breast,-0.531300393,0.000660022,0.047819185
PVALB,Brain - Breast,6.555129335,0.000661649,0.047819185
FRZB,Brain - Breast,5.928597788,0.000691058,0.049445202
RPL11,Brain - Breast,-0.646074137,0.000730351,0.051739224
KIF13A,Brain - Breast,4.648295783,0.000967713,0.067882216
RPL6,Brain - Breast,-0.676498893,0.00099081,0.068827635
H2AC6,Brain - Breast,-0.674889844,0.001010707,0.069534679
FAU,Brain - Breast,-0.617764831,0.001033129,0.070400338
RPS3,Brain - Breast,-0.653482331,0.001054069,0.071149667
C3,Brain - Breast,-4.756523375,0.001079102,0.072158637
RPS5,Brain - Breast,-0.568852774,0.001096962,0.072545413
IGHM,Brain - Breast,-5.93755095,0.001105164,0.072545413
CXCL13,Brain - Breast,-5.734483664,0.001117021,0.072657114
NPIPA1,Brain - Breast,0.670520905,0.001136608,0.073265151
ACTR2,Brain - Breast,-0.567122575,0.001173841,0.074989592
AKT1,Brain - Breast,2.68018464,0.001230529,0.077915382
IGKC,Brain - Breast,-5.1507333,0.001252823,0.078631104
RPS18,Brain - Breast,-0.614765913,0.001264384,0.078666692
NAT8L,Brain - Breast,-0.609726554,0.001282857,0.079127931
ARNT2,Brain - Breast,5.407377404,0.001303789,0.079731741
RPL38,Brain - Breast,-0.589513666,0.001356439,0.081755464
POSTN,Brain - Breast,-5.68568021,0.001370084,0.081755464
PIM2,Brain - Breast,-5.850188733,0.001371161,0.081755464
AGPAT1,Brain - Breast,0.633240194,0.001404765,0.083066913
TMC5,Brain - Breast,5.905376978,0.001444924,0.084449714
TPD52L1,Brain - Breast,5.67473718,0.001451756,0.084449714
DDR1,Brain - Breast,4.869955992,0.001513558,0.085315191
ATP5MG,Brain - Breast,-0.547535519,0.001487759,0.085315191
NPEPL1,Brain - Breast,5.212379734,0.001509622,0.085315191
RPL31,Brain - Breast,-0.589737405,0.00151433,0.085315191
MAL2,Brain - Breast,3.540153017,0.001570717,0.086449846
EML3,Brain - Breast,-5.116970219,0.001549397,0.086449846
MEAF6,Brain - Breast,-3.729452304,0.001570375,0.086449846
ATP9A,Brain - Breast,5.202285682,0.00170177,0.092556843
JCHAIN,Brain - Breast,-6.585066318,0.001707548,0.092556843
USP17L11,Brain - Breast,-4.947698894,0.001771092,0.095279409
STAT1,Brain - Breast,-1.093690835,0.00180846,0.096563661
IFI30,Brain - Breast,-1.174170289,0.001839137,0.097474284
LYZ,Brain - Breast,-4.643451998,0.001903765,0.10015762
HIP1,Brain - Breast,-5.367144712,0.001923835,0.100474719
IGSF3,Brain - Breast,5.438488336,0.001954319,0.10132719
SPDYE3,Brain - Breast,-6.146208432,0.001978247,0.101829903
CELSR2,Brain - Breast,5.230372644,0.002029787,0.103736617
NPC2,Brain - Breast,-0.74493228,0.002073692,0.105228858
EPPK1,Brain - Breast,6.104616154,0.002099294,0.105777787
KCNS3,Brain - Breast,5.280963523,0.002163612,0.10825624
HLA-DRA,Brain - Breast,-2.162503332,0.002225049,0.110557119
RPS10,Brain - Breast,-0.547444213,0.00225937,0.1107246
EEF1G,Brain - Breast,-0.601327522,0.002253178,0.1107246
ADAM15,Brain - Breast,-0.346755452,0.002340356,0.113913252
ALDH2,Brain - Breast,-3.853626896,0.002397632,0.115134589
NBPF15,Brain - Breast,-0.491488453,0.00239586,0.115134589
RPS16,Brain - Breast,-0.484228789,0.002414644,0.115178511
FASN,Brain - Breast,3.71867652,0.002447699,0.115982045
TTC33,Brain - Breast,-0.770313046,0.00255495,0.120267553
ZG16B,Brain - Breast,4.779945155,0.002653932,0.124110371
RACK1,Brain - Breast,-0.552391358,0.002799482,0.130066855
RPS2,Brain - Breast,-0.539400497,0.003048975,0.140744625
CD2,Brain - Breast,-4.888647067,0.003115674,0.142901579
EHMT2,Brain - Breast,4.412211746,0.003158843,0.143958749
SSR4,Brain - Breast,-1.860577969,0.003237088,0.146590912
H1-2,Brain - Breast,-0.859038047,0.003377448,0.151985148
ARL4C,Brain - Breast,-1.133601781,0.003470359,0.155190111
RNASEK,Brain - Breast,-0.685008549,0.003604921,0.155606398
RPS6,Brain - Breast,-0.576568861,0.003578141,0.155606398
CTTN,Brain - Breast,2.165657269,0.003566302,0.155606398
ZNF217,Brain - Breast,3.593435347,0.003610155,0.155606398
RNF181,Brain - Breast,-0.589026411,0.003583003,0.155606398
EPB41L4A,Brain - Breast,3.779548096,0.003502179,0.155606398
BTF3,Brain - Breast,-0.549175623,0.003655673,0.156624809
SFRP2,Brain - Breast,-5.000420125,0.003732214,0.158952325
LSP1,Brain - Breast,-4.845577578,0.003847439,0.161498476
NOP53,Brain - Breast,-0.745138396,0.003815172,0.161498476
KCTD13,Brain - Breast,-4.899750875,0.003859712,0.161498476
ACTG2,Brain - Breast,5.026139057,0.003990961,0.165059683
EGFL7,Brain - Breast,1.579148937,0.003971166,0.165059683
RPL41,Brain - Breast,-0.436702127,0.004025685,0.165538947
RTL8C,Brain - Breast,0.587824077,0.004109827,0.168033225
JAG2,Brain - Breast,5.3603278,0.004180116,0.169935985
NR2F2,Brain - Breast,2.754049503,0.004341097,0.175483339
SHROOM1,Brain - Breast,4.95584241,0.004518405,0.181624662
LUC7L3,Brain - Breast,0.626166898,0.004591903,0.18354786
PMEPA1,Brain - Breast,3.634036154,0.004828854,0.19194695
CD79A,Brain - Breast,-5.512682032,0.00489888,0.193654618
SS18L1,Brain - Breast,5.404735002,0.005014982,0.197154907
EIF5A,Brain - Breast,-0.654765819,0.005188069,0.200718435
PHLDA3,Brain - Breast,4.813330577,0.005189785,0.200718435
TMEM268,Brain - Breast,-3.435614451,0.005133991,0.200718435
GNG10,Brain - Breast,-2.35014704,0.005227315,0.201082997
DDX39B,Brain - Breast,0.614641742,0.00536815,0.205396327
ARHGAP29,Brain - Breast,-3.734428596,0.005517079,0.208860864
ARRDC1,Brain - Breast,2.309610774,0.005512894,0.208860864
CCR5,Brain - Breast,-5.15781365,0.005648277,0.211588604
RPL35A,Brain - Breast,-0.528327386,0.005625141,0.211588604
ZNF101,Brain - Breast,4.62959154,0.005685337,0.211867647
CMTM4,Brain - Breast,5.311650057,0.005921203,0.219514018
ATP2B1,Brain - Breast,-4.000722777,0.005993321,0.221042321
NCF1,Brain - Breast,-4.879856563,0.006051304,0.222036326
RPS19,Brain - Breast,-0.519045202,0.006160562,0.222859996
HLA-DQB1,Brain - Breast,-4.45179957,0.006149352,0.222859996
APOL3,Brain - Breast,-4.837610172,0.006167195,0.222859996
PLA2G2A,Brain - Breast,-5.68960412,0.006202514,0.223009996
H2BC14,Brain - Breast,-4.963551622,0.006328432,0.226399663
TMEM25,Brain - Breast,4.661200919,0.006394838,0.22763714
PLXNB1,Brain - Breast,4.688057273,0.006614164,0.230120826
C5orf24,Brain - Breast,2.691198553,0.006589036,0.230120826
COL6A3,Brain - Breast,-4.049716098,0.006607289,0.230120826
PRRC2A,Brain - Breast,2.382476036,0.006584953,0.230120826
TIGIT,Brain - Breast,-5.24970789,0.006625421,0.230120826
GIPC1,Brain - Breast,4.493556703,0.006664299,0.230352934
HSD17B11,Brain - Breast,-4.00292782,0.007029207,0.241004778
HMGCLL1,Brain - Breast,-0.703140505,0.007073515,0.241004778
PHAX,Brain - Breast,-0.574469436,0.007048868,0.241004778
RPS27A,Brain - Breast,-0.529043012,0.007119555,0.241423768
IGHG1,Brain - Breast,-5.158757852,0.007189503,0.242645724
PITX1,Brain - Breast,4.189764182,0.007438731,0.248706315
DSTN,Brain - Breast,0.763941417,0.007426321,0.248706315
RPS20,Brain - Breast,-0.501316905,0.007473355,0.248706315
LCP1,Brain - Breast,-3.172470659,0.007643395,0.251010145
LTF,Brain - Breast,3.02129162,0.007647828,0.251010145
H2BC10,Brain - Breast,-2.7436177,0.007628314,0.251010145
CDK2AP1,Brain - Breast,0.685214495,0.0077176,0.25214351
SARDH,Brain - Breast,-0.543336335,0.007907043,0.254841866
PSTPIP1,Brain - Breast,-4.918642853,0.007883412,0.254841866
CBFA2T2,Brain - Breast,-4.925642209,0.007893052,0.254841866
CCL19,Brain - Breast,-5.161343105,0.007985584,0.256219084
FERD3L,Brain - Breast,2.946178808,0.008073309,0.257877362
PODXL,Brain - Breast,4.962463964,0.008134974,0.258692186
CPT1B,Brain - Breast,3.410774458,0.008469513,0.268138801
ARID4A,Brain - Breast,-4.633904138,0.008587507,0.270676705
CUL2,Brain - Breast,-4.667072146,0.008637556,0.271060152
PKD1,Brain - Breast,3.524257133,0.008793927,0.273513902
ADAM19,Brain - Breast,-4.734153508,0.008830428,0.273513902
UBE2Z,Brain - Breast,0.502551506,0.008825376,0.273513902
SPATS2L,Brain - Breast,3.27277683,0.009051163,0.277944517
DBN1,Brain - Breast,4.186410615,0.009050721,0.277944517
LGALS1,Brain - Breast,-0.620789848,0.009094592,0.278084631
EEF1AKMT2,Brain - Breast,-4.007200661,0.009177972,0.279439958
CLDN3,Brain - Breast,3.482727835,0.009383564,0.284231958
PTMA,Brain - Breast,-0.447971101,0.009414811,0.284231958
HLA-DPB1,Brain - Breast,-2.309476441,0.009468086,0.284639306
PTPRM,Brain - Breast,3.88959607,0.009606934,0.286388114
GNB2,Brain - Breast,0.563755559,0.009646336,0.286388114
CNOT6L,Brain - Breast,-3.684922692,0.009574091,0.286388114
MSN,Brain - Breast,-1.557730128,0.009761205,0.288600915
RPL7,Brain - Breast,-0.486074336,0.010056714,0.292503206
JAK1,Brain - Breast,-3.831070982,0.010046815,0.292503206
RGS1,Brain - Breast,-3.376532563,0.010054024,0.292503206
TMEM54,Brain - Breast,3.936503852,0.010055233,0.292503206
NMRK1,Brain - Breast,-4.271326936,0.010311119,0.298688495
SF1,Brain - Breast,1.327082322,0.010590679,0.305549618
PLPP3,Brain - Breast,-3.180812581,0.010717672,0.307971673
KCNK6,Brain - Breast,-5.349131899,0.010788444,0.308765262
HOMER2,Brain - Breast,4.686233819,0.0108411,0.309036147
EIF3B,Brain - Breast,1.357363729,0.011026672,0.310913034
PABPC1,Brain - Breast,-0.547215655,0.011063791,0.310913034
CAPN13,Brain - Breast,4.970677857,0.011080758,0.310913034
CTXN1,Brain - Breast,4.103645346,0.011044234,0.310913034
PTTG1IP,Brain - Breast,0.592226132,0.011225847,0.312532835
KDELR2,Brain - Breast,2.162178891,0.011205681,0.312532835
CALR,Brain - Breast,-0.37337581,0.011316317,0.313830421
CD200,Brain - Breast,-4.216215407,0.011408948,0.315177688
COX7A1,Brain - Breast,4.900699197,0.011536419,0.317473375
GFAP,Brain - Breast,4.673016137,0.011686427,0.320369281
ITGA4,Brain - Breast,-4.017988915,0.011755937,0.32104477
TMEM88B,Brain - Breast,-4.404350978,0.011849193,0.321516965
ZNF28,Brain - Breast,-0.439714573,0.0118631,0.321516965
GRHL2,Brain - Breast,3.37513351,0.012012296,0.324331987
TUBA1C,Brain - Breast,0.509051529,0.01210424,0.325585862
TMEM50A,Brain - Breast,-4.295144529,0.012325172,0.330286906
GPR183,Brain - Breast,-3.942598077,0.01246109,0.332683211
ZNFX1,Brain - Breast,3.248351133,0.012619335,0.334412385
VAPB,Brain - Breast,3.278630651,0.012578571,0.334412385
TRPS1,Brain - Breast,3.912118729,0.013004387,0.3433446
ALPL,Brain - Breast,-4.935210569,0.013209201,0.345511329
PPP1R8,Brain - Breast,-3.325965483,0.013134916,0.345511329
RAB18,Brain - Breast,3.476888802,0.013231321,0.345511329
TLE2,Brain - Breast,4.137212908,0.013383212,0.348206843
NUMB,Brain - Breast,-3.841763073,0.013539487,0.349122147
CST7,Brain - Breast,-5.141537813,0.01351066,0.349122147
GPX7,Brain - Breast,-3.987402229,0.013564774,0.349122147
SLC16A3,Brain - Breast,-3.890986494,0.013807342,0.354091501
SELENOW,Brain - Breast,0.522549423,0.014390323,0.367724146
ZNF524,Brain - Breast,2.987162168,0.014671608,0.373060023
BIRC3,Brain - Breast,-4.748337196,0.014703414,0.373060023
VIM,Brain - Breast,-0.821696841,0.014923395,0.375644866
CCNI,Brain - Breast,-0.424388934,0.014939315,0.375644866
KIAA1143,Brain - Breast,2.200605676,0.014962793,0.375644866
GLCCI1,Brain - Breast,-3.946440488,0.015047484,0.376450166
EPN2,Brain - Breast,4.054111238,0.01534173,0.38247415
ATP1A2,Brain - Breast,4.681594794,0.015540051,0.386073138
SGK1,Brain - Breast,-1.487340797,0.015675639,0.387539263
THY1,Brain - Breast,-4.068198467,0.015707392,0.387539263
EVI2B,Brain - Breast,-1.524362044,0.015896176,0.39084927
ZKSCAN1,Brain - Breast,2.244328174,0.016253556,0.395080298
MERTK,Brain - Breast,3.623927178,0.016268959,0.395080298
AKTIP,Brain - Breast,4.363795371,0.016127265,0.395080298
SIK1,Brain - Breast,-2.535125839,0.016289125,0.395080298
PIM1,Brain - Breast,-3.818418899,0.016345298,0.395103408
CCDC69,Brain - Breast,-4.701693035,0.017027599,0.41021034
IGLL5,Brain - Breast,-5.093535862,0.017088904,0.410305741
PRPF39,Brain - Breast,-0.629021598,0.017173975,0.410969206
PON2,Brain - Breast,2.548096613,0.017691298,0.421937466
RPL37A,Brain - Breast,-0.3781215,0.017904644,0.422283386
CD68,Brain - Breast,-0.835703288,0.017997247,0.422283386
SMIM22,Brain - Breast,4.709999517,0.017899639,0.422283386
ARRDC3,Brain - Breast,-3.729899885,0.018000899,0.422283386
SH3RF1,Brain - Breast,-4.140933999,0.017806805,0.422283386
CDKN2C,Brain - Breast,-4.50156558,0.018613846,0.435235521
ALDH1A3,Brain - Breast,-4.708700001,0.019033306,0.439200637
GUK1,Brain - Breast,1.305212676,0.019151726,0.439200637
ARHGAP8,Brain - Breast,3.514138876,0.019009754,0.439200637
SERPINA3,Brain - Breast,4.096043661,0.019127659,0.439200637
SMCO4,Brain - Breast,-3.722105764,0.018933502,0.439200637
CD79B,Brain - Breast,-3.627666976,0.019063442,0.439200637
FKBP5,Brain - Breast,1.352608509,0.019537869,0.442384336
PKP4,Brain - Breast,3.043738076,0.0195111,0.442384336
HSH2D,Brain - Breast,-3.763946924,0.019376025,0.442384336
IL32,Brain - Breast,-3.249840872,0.019503742,0.442384336
NR2F1,Brain - Breast,3.953620454,0.019717126,0.443635344
PSMB3,Brain - Breast,-3.308801557,0.019655135,0.443635344
HERPUD1,Brain - Breast,-2.109548846,0.019785623,0.443780985
AOAH,Brain - Breast,-3.998925988,0.0199387,0.44581688
NQO1,Brain - Breast,3.740010695,0.020245918,0.448812779
RAC2,Brain - Breast,-2.957892056,0.020372891,0.448812779
CEP57,Brain - Breast,3.422809967,0.020318445,0.448812779
PUM3,Brain - Breast,3.868473081,0.020308595,0.448812779
PTPA,Brain - Breast,3.235433898,0.020402796,0.448812779
GET1,Brain - Breast,3.53078088,0.020449052,0.448812779
EIF3F,Brain - Breast,-1.469521188,0.020636985,0.451552375
AAK1,Brain - Breast,-4.369857666,0.020727374,0.452147445
BTK,Brain - Breast,-4.087706867,0.020979889,0.455528181
TMEM30A,Brain - Breast,-0.325179516,0.021326845,0.455528181
NEBL,Brain - Breast,3.896033385,0.021548654,0.455528181
COL6A2,Brain - Breast,-1.464408107,0.021515681,0.455528181
PTPRCAP,Brain - Breast,-3.23420673,0.021543317,0.455528181
FASTKD2,Brain - Breast,-4.294994207,0.021387671,0.455528181
CRISPLD2,Brain - Breast,-4.241075131,0.021249315,0.455528181
RSU1,Brain - Breast,-4.363652116,0.021016928,0.455528181
ANTKMT,Brain - Breast,-0.656340464,0.021582677,0.455528181
BASP1,Brain - Breast,-0.414637684,0.021445409,0.455528181
BTN3A3,Brain - Breast,-3.450367106,0.021486398,0.455528181
C1S,Brain - Breast,-3.082568952,0.021869856,0.457855018
LUM,Brain - Breast,-4.092760245,0.02189517,0.457855018
CDH1,Brain - Breast,3.330887388,0.021948885,0.457855018
MRPS18C,Brain - Breast,-3.696805619,0.021935688,0.457855018
STRIP1,Brain - Breast,-4.122264738,0.022095726,0.458626781
KCNA3,Brain - Breast,-4.206054623,0.02211408,0.458626781
E4F1,Brain - Breast,4.170994118,0.022368822,0.460305985
BCAS1,Brain - Breast,4.478813832,0.02228508,0.460305985
PCNA,Brain - Breast,2.658071849,0.022452381,0.460305985
RPL23A,Brain - Breast,-3.870195735,0.022434469,0.460305985
MRPL35,Brain - Breast,-3.624636603,0.022525735,0.46049038
SLC31A2,Brain - Breast,-4.326368731,0.022631802,0.461123733
CIITA,Brain - Breast,-3.563823124,0.022685612,0.461123733
SLC35F6,Brain - Breast,3.145610401,0.022936269,0.463584769
TARP,Brain - Breast,-4.141478467,0.022920637,0.463584769
PAFAH1B2,Brain - Breast,2.550285941,0.023085649,0.465289631
PFN2,Brain - Breast,3.143670991,0.023202915,0.465481617
ADGRA3,Brain - Breast,3.768395994,0.023225288,0.465481617
GABPA,Brain - Breast,-3.813390867,0.023527798,0.466319649
GBP1,Brain - Breast,-3.399705979,0.023416069,0.466319649
COTL1,Brain - Breast,-1.356179021,0.023521772,0.466319649
H3C1,Brain - Breast,-4.10375473,0.023346069,0.466319649
CASP4,Brain - Breast,-3.160018391,0.023897642,0.469998565
HLA-DOA,Brain - Breast,-3.702310104,0.023828618,0.469998565
SEL1L3,Brain - Breast,-3.771403727,0.023910479,0.469998565
FXYD5,Brain - Breast,-2.361810386,0.024051486,0.471475026
TOX3,Brain - Breast,4.346077024,0.024455905,0.478092902
SEPTIN9,Brain - Breast,-0.455260267,0.02499166,0.487235221
CYBB,Brain - Breast,-2.0987085,0.025068323,0.487401765
F13A1,Brain - Breast,-3.783784527,0.025317276,0.489069197
GLRX,Brain - Breast,-3.608173012,0.025439103,0.489069197
RGS2,Brain - Breast,-2.32761562,0.025499365,0.489069197
RHOB,Brain - Breast,2.39870625,0.02525171,0.489069197
FCHSD2,Brain - Breast,-3.577717677,0.025496041,0.489069197
NPM1,Brain - Breast,-0.426244178,0.025564204,0.489069197
SLC12A2,Brain - Breast,3.761931036,0.026083753,0.497678
IPO11,Brain - Breast,3.792743204,0.026257704,0.498339186
NAPSA,Brain - Breast,-3.831272227,0.026228861,0.498339186
ERBB3,Brain - Breast,2.916475152,0.026397725,0.498352839
DOCK1,Brain - Breast,3.571182095,0.026397144,0.498352839
CACNB3,Brain - Breast,3.621098652,0.027396921,0.503474952
AEBP1,Brain - Breast,-3.305009241,0.027259153,0.503474952
ZEB2,Brain - Breast,-3.69033455,0.027642646,0.503474952
GPSM3,Brain - Breast,-3.508098297,0.027648454,0.503474952
ACP5,Brain - Breast,-3.272280756,0.02786528,0.503474952
ARL2,Brain - Breast,2.154664514,0.02721439,0.503474952
MAZ,Brain - Breast,-0.338146933,0.027810754,0.503474952
CELSR1,Brain - Breast,3.939562662,0.02739461,0.503474952
NECAP1,Brain - Breast,-3.599851223,0.027578004,0.503474952
TOMM7,Brain - Breast,-0.447405297,0.027126223,0.503474952
NKX2-4,Brain - Breast,-0.505259846,0.027845781,0.503474952
ANKRD30A,Brain - Breast,3.911920488,0.027662887,0.503474952
TMEM170A,Brain - Breast,-3.516739734,0.026971417,0.503474952
STT3B,Brain - Breast,-3.003794449,0.027339071,0.503474952
LMCD1,Brain - Breast,-3.945570122,0.027626044,0.503474952
ODF2,Brain - Breast,4.159173332,0.027698871,0.503474952
H1-4,Brain - Breast,-1.374226023,0.027820961,0.503474952
CTBS,Brain - Breast,-3.103192056,0.028113663,0.505808473
APOBEC3C,Brain - Breast,-4.269516832,0.028135817,0.505808473
IKZF2,Brain - Breast,-4.09966651,0.028365322,0.50865634
C1QBP,Brain - Breast,-0.837620997,0.028719559,0.510223358
CCN1,Brain - Breast,-2.145646864,0.028934726,0.510223358
TMED2,Brain - Breast,-0.51295199,0.028925246,0.510223358
ECT2,Brain - Breast,3.57438299,0.02873221,0.510223358
MCL1,Brain - Breast,-0.41929279,0.028528698,0.510223358
WDR75,Brain - Breast,-3.785804519,0.028763871,0.510223358
AZGP1,Brain - Breast,4.218732444,0.028951877,0.510223358
STARD10,Brain - Breast,3.480619213,0.029042478,0.510562476
COL3A1,Brain - Breast,-1.539813315,0.029303456,0.513887805
SELPLG,Brain - Breast,-3.44996622,0.029411781,0.514526387
SOD2,Brain - Breast,-1.761395133,0.030014309,0.52024143
MEGF8,Brain - Breast,0.437139013,0.029971286,0.52024143
ARSD,Brain - Breast,3.629302775,0.03015822,0.52024143
CSRP1,Brain - Breast,1.530900834,0.030158791,0.52024143
MMP11,Brain - Breast,-4.150022666,0.029827916,0.52024143
TASOR2,Brain - Breast,0.322846558,0.03017473,0.52024143
USP11,Brain - Breast,-3.762254341,0.030286992,0.520921698
INHBA,Brain - Breast,-3.994108484,0.030663875,0.522489094
HNRNPAB,Brain - Breast,1.510589505,0.030545099,0.522489094
INPP5A,Brain - Breast,3.300676341,0.030670219,0.522489094
ZCCHC8,Brain - Breast,3.215118814,0.030493962,0.522489094
PTK2,Brain - Breast,2.690340969,0.030938773,0.525609222
RPS27L,Brain - Breast,-0.53273337,0.031000292,0.525609222
CAPZA2,Brain - Breast,-2.880414891,0.031231123,0.528271131
ASNSD1,Brain - Breast,-4.162352952,0.031343826,0.52892707
LAMA2,Brain - Breast,3.848324765,0.032200543,0.539570093
BTBD1,Brain - Breast,-3.410900264,0.032434054,0.539570093
ADA2,Brain - Breast,-3.245856999,0.03257088,0.539570093
