"","DSP-1001660005648-A-C05.dcc","DSP-1001660005648-A-C06.dcc","DSP-1001660005648-A-C07.dcc","DSP-1001660005648-A-C08.dcc","DSP-1001660005648-A-C10.dcc","DSP-1001660005648-A-C12.dcc","DSP-1001660005648-A-D01.dcc","DSP-1001660005648-A-D02.dcc","DSP-1001660005648-A-D03.dcc","DSP-1001660005648-A-D04.dcc","DSP-1001660005648-A-D05.dcc","DSP-1001660005648-A-D06.dcc","DSP-1001660005648-A-D07.dcc","DSP-1001660005648-A-D08.dcc","DSP-1001660005648-A-D09.dcc","DSP-1001660005648-A-D10.dcc","DSP-1001660005648-A-E01.dcc","DSP-1001660005648-A-E02.dcc","DSP-1001660005648-A-E03.dcc","DSP-1001660005648-A-E04.dcc","DSP-1001660005648-A-E06.dcc","DSP-1001660005648-A-E07.dcc","DSP-1001660005649-B-B11.dcc","DSP-1001660005649-B-B12.dcc","DSP-1001660005649-B-C01.dcc","DSP-1001660005649-B-C02.dcc","DSP-1001660005649-B-C05.dcc","DSP-1001660005649-B-C06.dcc","DSP-1001660005649-B-C07.dcc","DSP-1001660005649-B-C08.dcc","DSP-1001660005649-B-C09.dcc","DSP-1001660005649-B-C12.dcc","DSP-1001660005649-B-D01.dcc","DSP-1001660005649-B-D02.dcc","DSP-1001660005649-B-D03.dcc","DSP-1001660005649-B-D04.dcc","DSP-1001660005649-B-D05.dcc","DSP-1001660005649-B-D07.dcc","DSP-1001660005649-B-E09.dcc","DSP-1001660005649-B-E12.dcc","DSP-1001660005649-B-F01.dcc","DSP-1001660005649-B-F02.dcc","DSP-1001660005649-B-F05.dcc","DSP-1001660005649-B-F07.dcc","DSP-1001660005649-B-F09.dcc","DSP-1001660005649-B-F11.dcc","DSP-1001660005649-B-F12.dcc","DSP-1001660005649-B-G01.dcc","DSP-1001660005649-B-G03.dcc","DSP-1001660005649-B-G06.dcc","DSP-1001660005649-B-G07.dcc","DSP-1001660005649-B-G08.dcc","DSP-1001660005649-B-G11.dcc","DSP-1001660005649-B-H01.dcc","DSP-1001660005649-B-H02.dcc","DSP-1001660005649-B-H05.dcc","DSP-1001660005649-B-H06.dcc","DSP-1001660005649-B-H08.dcc","DSP-1001660005649-B-H09.dcc","DSP-1001660005649-B-H12.dcc","DSP-1001660012098-D-A02.dcc","DSP-1001660012098-D-A03.dcc","DSP-1001660012098-D-A06.dcc","DSP-1001660012098-D-A09.dcc","DSP-1001660012098-D-B02.dcc","DSP-1001660012098-D-B03.dcc","DSP-1001660012099-C-E02.dcc","DSP-1001660012099-C-E03.dcc","DSP-1001660012099-C-E04.dcc","DSP-1001660012099-C-E05.dcc","DSP-1001660012099-C-E06.dcc","DSP-1001660012099-C-E07.dcc","DSP-1001660012099-C-E08.dcc","DSP-1001660012099-C-E09.dcc","DSP-1001660012099-C-E10.dcc","DSP-1001660012099-C-E11.dcc","DSP-1001660012099-C-F02.dcc","DSP-1001660012099-C-F03.dcc","DSP-1001660012099-C-F06.dcc","DSP-1001660012099-C-F07.dcc","DSP-1001660012099-C-F08.dcc","DSP-1001660012099-C-F09.dcc","DSP-1001660012099-C-F10.dcc","DSP-1001660012099-C-F11.dcc","DSP-1001660012099-C-G01.dcc","DSP-1001660012099-C-G02.dcc","DSP-1001660012099-C-G03.dcc","DSP-1001660012099-C-G04.dcc","DSP-1001660012099-C-G05.dcc","DSP-1001660012099-C-G06.dcc","DSP-1001660012099-C-G09.dcc","DSP-1001660012099-C-G12.dcc","DSP-1001660012099-C-H07.dcc"
"COL5A1",5,2,8,2,2,3,4,1,3,3,1,11,3,7,0,5,8,3,4,3,2,2,2,6,10,4,11,2,19,13,2,2,0,10,2,11,8,1,7,5,19,22,32,1,13,3,2,7,7,5,12,27,8,42,18,6,12,10,7,5,18,28,5,30,7,20,16,3,12,5,10,30,9,19,25,10,21,20,13,6,12,13,23,24,9,17,16,16,8,9,34,12,26
"CP",0,8,1,0,2,0,8,1,1,0,2,1,1,2,0,2,0,2,0,2,1,3,1,0,9,2,13,3,8,6,4,4,4,1,2,9,0,2,2,9,2,2,3,2,2,1,8,0,0,8,0,9,6,29,1,4,1,1,2,7,1,0,1,0,8,3,1,2,1,8,2,13,13,1,1,2,3,1,2,0,6,6,4,22,2,1,1,0,1,5,1,2,1
"CST3",9,11,5,6,6,4,11,5,3,8,11,19,1,10,1,16,3,4,5,3,1,5,4,18,11,15,32,1,10,8,34,11,1,10,19,9,0,8,19,32,19,11,38,8,18,19,10,25,15,41,7,4,78,46,40,11,23,21,15,22,21,26,73,71,21,32,55,15,24,22,79,23,59,11,23,6,32,116,28,12,57,20,50,15,39,13,11,9,28,47,58,51,6
"CSTB",9,19,6,5,1,6,11,3,9,4,17,15,1,0,6,3,2,3,1,2,2,5,8,15,33,16,29,7,11,44,62,2,0,6,44,21,4,5,6,5,2,3,22,47,12,23,7,13,11,10,4,12,38,39,40,8,22,40,17,8,7,14,34,84,21,28,10,20,8,11,27,28,33,14,24,8,14,43,3,37,25,8,20,49,19,16,13,13,8,19,17,31,6
"CYP1B1",2,4,6,1,2,0,1,1,1,1,5,3,1,1,0,6,3,2,0,3,2,6,3,3,2,4,6,7,3,8,4,3,3,3,3,3,0,2,7,2,4,11,14,1,9,1,2,1,10,6,3,5,15,38,8,3,6,1,11,15,3,5,8,10,5,1,10,38,4,14,3,7,4,1,18,2,5,2,20,131,6,24,9,6,9,6,7,9,6,6,7,3,8
"EMD",3,6,0,2,1,1,2,3,2,0,2,8,2,0,4,0,2,0,4,2,2,2,4,1,17,5,10,2,5,20,17,2,2,0,11,5,2,1,5,3,4,3,14,6,12,5,5,10,3,1,3,3,11,17,3,4,10,6,5,4,3,8,26,14,6,5,2,4,7,6,15,8,42,9,9,2,6,31,3,9,5,3,16,13,9,7,3,12,7,8,9,10,0
"EPHX1",2,6,1,2,1,1,2,0,4,1,8,8,1,2,0,2,1,3,2,1,0,3,2,2,23,4,8,3,0,21,11,1,1,0,7,8,3,3,3,9,2,2,18,0,10,21,6,5,2,3,3,3,23,31,3,8,4,15,5,15,2,3,35,7,14,5,6,3,3,5,27,11,28,4,3,2,4,7,2,6,3,12,12,15,15,9,3,2,4,7,4,7,0
"F13A1",0,2,10,2,1,0,1,1,2,1,5,2,0,15,1,1,0,8,0,0,1,9,0,3,1,5,3,0,5,1,10,7,0,3,4,1,0,6,13,24,6,10,9,2,4,0,6,16,3,24,1,1,8,59,7,27,49,1,6,13,2,16,32,4,37,48,4,4,3,54,4,2,5,1,16,1,9,5,5,0,2,102,8,2,1,10,3,23,14,3,5,6,40
"FH",1,5,1,1,0,3,2,1,0,1,4,6,3,0,2,0,0,0,0,1,0,2,1,2,9,4,6,0,1,9,10,1,1,2,4,3,0,0,2,0,4,0,5,3,2,4,4,4,1,1,1,2,15,10,2,2,7,4,4,3,1,1,15,1,7,6,0,3,3,6,7,3,22,2,4,1,5,7,0,8,8,2,8,14,8,5,1,4,4,5,7,2,1
"GPI",3,8,0,1,2,6,2,2,3,2,3,20,2,3,5,1,4,2,1,1,2,2,0,7,11,4,16,5,7,15,15,0,1,4,8,10,4,1,2,7,5,4,16,9,5,10,3,16,3,4,4,1,18,26,6,8,18,20,5,9,1,5,25,18,11,9,3,12,4,9,16,14,39,3,9,3,5,20,5,15,11,1,3,9,7,9,17,10,1,14,2,6,7
"GSN",1,4,3,0,1,1,8,2,3,2,6,5,2,3,1,7,0,2,1,4,2,6,2,2,4,7,11,4,7,5,41,2,1,6,30,2,1,3,3,8,2,2,35,1,19,6,11,5,4,8,0,7,44,29,8,16,4,8,7,15,5,6,24,14,11,13,2,6,3,8,13,29,4,4,8,2,15,8,4,8,15,5,16,3,14,9,15,5,12,14,21,3,1
"GUSB",2,6,2,2,2,3,3,1,3,1,2,2,1,1,5,1,4,2,1,3,0,1,6,3,3,3,12,5,3,5,11,0,1,1,8,7,2,1,4,2,1,2,8,1,5,3,3,10,2,6,3,6,9,7,5,1,3,15,2,5,6,4,10,15,10,5,5,2,2,3,11,7,7,5,6,3,0,11,4,5,8,1,10,6,9,4,1,2,4,4,5,3,3
"HADHA",0,2,0,4,1,0,3,1,1,1,1,6,1,1,0,0,0,2,0,1,0,0,1,3,8,1,7,5,0,6,10,2,0,0,6,9,2,1,4,2,3,3,7,2,2,3,1,4,4,2,0,3,14,18,5,3,5,8,3,1,5,5,12,15,7,7,4,2,4,7,10,19,14,3,6,6,9,12,5,4,7,2,8,11,9,3,4,4,8,6,7,4,0
"HADHB",1,4,0,3,2,3,1,1,2,1,3,5,1,4,4,1,0,0,1,1,5,1,3,2,7,4,6,3,3,12,7,0,1,3,3,6,1,4,3,5,2,2,5,2,9,4,7,6,3,7,1,2,16,20,8,3,6,2,4,1,3,4,19,19,7,4,4,2,4,5,10,7,15,6,3,2,4,14,2,3,3,4,7,11,8,4,5,5,5,9,5,8,0
"HK1",1,3,2,0,1,1,3,1,2,1,7,5,1,0,4,1,2,1,1,1,1,0,3,3,4,5,10,5,4,9,12,5,1,0,5,5,1,0,1,4,7,4,7,3,5,5,7,14,5,3,4,3,10,21,6,5,6,2,6,4,5,5,26,10,9,7,5,2,2,3,17,18,19,3,3,7,6,12,4,3,6,4,6,20,4,6,14,5,1,5,8,2,2
"HPS1",0,2,1,2,0,2,3,1,3,1,5,4,1,1,3,1,0,0,1,1,1,4,3,0,3,0,4,3,6,1,9,0,0,3,5,4,0,2,2,6,3,1,2,2,4,2,4,7,6,3,3,0,12,11,3,4,2,4,3,4,3,5,16,4,6,6,1,5,3,5,5,9,10,2,4,2,5,2,0,4,5,4,5,13,7,3,6,3,2,8,2,6,0
"ICAM1",2,3,2,0,1,0,4,1,3,0,1,1,0,1,1,0,0,0,1,3,2,1,2,8,18,2,7,2,9,4,2,3,1,2,0,12,2,1,4,4,4,3,5,0,5,3,4,4,10,1,3,1,2,15,8,3,6,3,14,4,10,2,6,13,2,6,1,7,4,3,8,5,4,3,2,1,3,2,2,16,8,4,3,7,3,4,2,3,1,3,1,7,1
"IDS",7,9,3,1,0,1,6,1,2,2,4,10,2,2,1,1,0,3,1,3,0,4,2,7,15,8,23,2,11,21,14,3,3,2,13,5,3,1,7,7,11,2,9,2,10,6,4,18,4,8,7,3,22,20,17,3,15,13,15,7,10,9,29,25,10,8,12,6,7,8,22,19,29,5,7,4,20,26,5,6,6,5,18,17,17,6,15,3,5,12,19,14,2
"IL2RG",1,4,2,3,1,0,0,0,0,0,4,1,1,4,0,0,2,3,2,2,1,0,3,8,8,1,6,1,3,3,0,1,1,4,0,4,0,1,10,5,16,5,4,4,0,3,0,19,9,4,5,2,4,6,16,1,8,0,3,5,15,7,3,21,1,10,3,0,3,0,1,8,6,2,6,3,9,7,0,6,12,1,3,5,4,5,1,1,3,6,4,11,2
"INSR",5,8,0,3,1,5,6,2,10,0,4,3,2,1,4,9,4,7,1,1,1,2,3,1,7,10,11,4,4,11,11,2,0,6,4,5,2,3,3,3,2,0,10,1,11,7,3,6,4,2,2,4,12,24,3,9,7,20,7,1,6,1,10,5,8,6,4,7,5,4,21,36,26,4,3,2,14,10,1,6,11,4,14,15,6,6,4,3,1,19,4,2,1
"ITGA6",2,1,0,2,0,1,0,0,4,1,2,0,0,1,3,1,0,2,2,3,0,0,7,0,3,4,11,10,3,4,18,2,1,1,10,2,0,4,2,0,3,0,3,2,1,2,4,25,0,1,1,4,6,9,5,1,19,5,4,2,0,3,3,12,10,8,2,3,6,3,6,7,26,0,6,3,6,5,3,1,9,1,3,8,3,2,3,6,5,0,6,5,3
"ITGB2",3,6,4,3,4,3,2,1,7,4,2,3,1,2,1,7,2,4,1,3,4,1,1,10,19,0,11,0,9,8,6,5,0,11,5,5,3,5,12,4,7,9,20,0,2,2,5,9,9,5,11,1,15,13,25,4,2,4,11,9,10,9,16,69,2,11,9,8,11,7,12,7,6,5,8,2,6,9,1,3,33,7,9,6,104,5,9,3,3,14,6,23,2
"JAG1",0,3,3,0,1,1,2,2,3,0,3,3,0,0,0,5,0,1,0,0,1,0,0,0,2,2,2,2,3,0,7,0,2,4,3,5,0,2,0,1,1,0,2,1,4,0,11,9,1,2,1,4,6,11,4,4,7,1,2,0,3,0,5,6,5,8,0,5,0,5,7,12,7,1,8,1,6,5,0,0,1,8,6,5,2,4,3,11,7,6,2,3,0
"KRT18",14,11,3,4,4,15,17,5,3,3,11,52,5,2,24,4,9,3,5,10,7,9,4,0,20,29,28,4,2,42,88,6,1,2,62,17,7,3,8,4,6,25,39,5,38,25,10,5,7,3,6,21,59,107,8,8,6,20,20,6,6,12,120,6,11,11,7,8,7,7,51,26,222,13,12,8,22,138,5,14,17,5,43,59,33,17,28,46,18,45,21,10,9
"LIPA",2,12,2,1,1,2,2,1,1,1,1,2,1,1,1,3,1,0,0,4,4,0,3,3,3,3,16,1,3,5,5,1,0,1,7,3,1,3,4,6,5,3,22,2,4,6,2,5,3,4,2,2,8,14,21,0,3,4,4,3,0,4,11,62,2,9,5,0,8,3,10,14,6,4,3,0,10,6,2,3,6,5,12,13,18,2,4,0,1,8,6,7,0
"LYZ",14,15,2,4,1,6,1,0,5,0,0,2,3,2,3,4,2,0,0,3,6,1,3,11,52,1,56,0,13,31,9,14,0,8,7,36,4,6,37,19,41,32,43,27,3,16,0,73,41,11,24,8,40,17,369,3,38,15,43,12,65,46,20,973,1,107,19,2,12,6,27,24,7,11,17,3,25,19,10,1,82,3,30,44,24,4,8,7,8,29,17,118,4
"NF1",4,0,2,1,2,0,5,0,0,1,2,5,3,1,2,0,5,0,1,0,0,1,3,2,3,1,6,2,9,10,10,0,0,5,10,2,0,1,3,0,2,5,5,1,3,2,10,1,3,3,0,8,11,18,1,4,4,6,93,4,2,4,14,4,5,2,5,2,4,8,7,6,11,3,10,1,9,8,1,4,4,6,15,7,5,3,6,10,2,6,1,3,1
"PNP",3,8,0,0,4,2,1,0,10,1,3,3,1,0,2,0,2,2,3,2,2,0,4,2,13,0,18,1,6,21,10,0,1,6,4,5,4,5,0,1,4,2,7,2,5,6,0,9,9,4,4,4,6,13,10,1,30,17,5,2,7,3,3,13,3,8,2,0,5,7,4,11,17,3,5,2,8,31,4,7,8,2,8,14,0,6,4,4,6,13,10,0,2
"OAT",2,1,0,1,3,4,3,3,1,1,3,4,1,2,6,1,1,1,0,0,3,1,2,0,4,3,4,2,4,3,9,0,0,2,9,1,0,0,2,2,3,2,8,3,3,5,8,0,4,6,2,2,20,6,3,0,5,8,2,1,0,1,32,8,9,5,2,2,2,0,4,7,26,0,5,1,4,12,1,7,1,5,4,9,2,2,6,2,1,5,1,3,4
"PCBD1",5,2,1,2,2,0,0,1,2,2,1,2,0,2,2,1,0,0,1,0,0,2,0,0,13,2,9,2,2,14,5,2,1,2,4,5,0,3,1,1,0,0,10,0,8,3,4,4,0,1,3,2,11,11,5,1,3,4,4,2,0,1,17,14,4,1,0,3,1,3,4,1,17,0,3,2,6,11,3,13,7,2,5,8,3,1,5,5,1,7,2,6,2
"PGK1",10,7,2,2,5,5,6,4,7,2,6,16,3,2,14,1,5,2,0,4,8,3,10,5,14,7,18,11,6,23,54,6,3,7,16,18,6,1,11,12,9,4,18,7,11,9,11,28,5,8,5,4,36,31,19,5,42,20,7,7,15,7,47,32,18,16,10,10,2,15,27,26,90,4,17,5,13,56,4,33,30,13,26,46,18,12,12,8,9,25,14,15,6
"SERPINA1",0,5,3,3,2,0,1,2,2,4,3,4,1,1,0,1,4,1,2,2,1,3,1,8,89,4,5,1,18,44,6,6,1,8,2,37,2,4,7,5,7,5,19,6,7,2,1,10,9,1,8,4,8,20,45,0,5,1,10,3,4,13,15,103,1,15,6,5,5,6,11,14,14,4,12,2,16,13,5,7,12,1,8,14,11,6,10,0,4,17,12,16,2
"PLOD1",2,1,2,1,4,4,2,4,7,2,3,13,7,0,2,1,5,6,3,7,3,10,5,5,9,12,20,10,10,15,11,5,0,4,3,11,3,6,9,2,8,7,12,10,8,16,6,15,6,7,5,6,18,41,6,14,18,24,11,3,11,8,10,26,8,9,4,4,7,5,11,19,14,3,12,12,12,17,1,11,15,9,8,27,19,18,11,7,16,18,10,13,5
"PMP22",3,2,2,2,2,1,1,0,0,1,0,3,1,3,1,1,1,1,0,2,3,3,3,0,2,4,7,1,1,2,9,1,1,1,3,4,0,0,1,1,3,5,9,2,8,5,0,2,1,6,3,1,6,23,9,4,4,6,7,9,2,1,6,5,5,4,7,1,6,10,11,6,25,2,6,3,9,3,4,3,4,9,11,8,6,6,5,2,3,6,10,5,0
"PON2",3,7,0,3,1,4,2,1,2,0,5,9,2,1,3,1,3,4,3,1,2,0,5,4,2,6,14,3,6,7,14,2,1,5,9,8,3,1,1,7,1,0,8,2,4,9,4,4,2,5,1,5,12,21,0,6,4,10,4,3,2,1,6,4,5,3,3,1,1,7,17,15,9,2,4,3,11,36,1,8,5,2,16,25,9,4,8,7,6,13,12,3,1
"PRNP",7,2,1,2,4,1,2,1,2,1,3,4,2,3,2,3,1,5,5,5,2,1,3,6,13,6,23,6,5,5,5,4,1,7,4,3,1,6,7,13,8,3,10,3,4,4,6,10,2,10,6,2,9,16,27,8,7,2,10,7,6,9,13,28,10,15,6,5,10,8,8,9,2,9,15,4,7,10,12,8,14,8,14,9,21,5,4,9,9,10,14,23,4
"PROS1",1,0,1,0,1,0,0,1,6,0,1,2,0,1,0,4,0,2,1,2,0,2,0,2,5,3,3,2,4,4,4,2,1,0,3,5,0,0,1,4,3,3,10,1,1,4,4,5,1,2,0,6,7,10,2,3,3,4,3,7,2,4,9,6,6,4,3,1,3,0,4,9,5,0,3,3,6,2,1,4,9,7,5,8,4,3,5,5,3,3,7,3,1
"PEX2",3,1,1,0,0,2,0,1,1,1,5,5,0,3,7,1,1,1,2,2,1,0,2,3,11,2,6,0,1,25,8,0,3,1,3,3,1,0,0,1,3,2,3,1,4,2,4,7,4,2,1,4,13,17,5,3,3,2,2,1,6,0,12,8,4,4,4,2,0,2,6,4,28,3,5,1,2,10,2,2,3,3,8,9,3,3,2,1,2,2,2,1,1
"ATXN1",1,5,2,4,2,5,2,1,3,1,4,14,3,2,6,1,2,5,3,1,1,1,3,8,21,4,11,1,2,18,14,3,1,3,2,8,10,3,2,1,7,4,10,1,19,5,9,11,1,5,8,6,10,39,3,3,9,7,14,9,9,4,13,16,10,12,9,2,1,11,21,11,22,2,6,3,13,28,5,14,6,4,9,18,13,3,7,6,7,14,9,11,3
"SMN1",4,2,3,1,0,0,3,4,0,1,0,7,1,3,4,0,0,1,1,1,2,2,2,5,4,5,5,0,4,6,10,3,1,4,9,4,3,0,5,4,6,2,6,0,7,1,5,4,9,4,2,2,6,20,4,1,5,7,2,3,8,3,11,12,6,9,3,5,4,5,8,10,8,3,5,4,7,6,6,8,2,6,8,8,6,5,2,5,5,6,3,8,0
"TCN2",1,0,4,2,0,1,1,1,4,0,1,3,0,0,0,2,1,7,0,2,1,1,1,2,2,2,5,3,2,6,3,4,0,2,3,2,0,0,2,5,8,3,8,0,3,2,3,3,0,9,0,2,11,10,13,5,0,6,4,10,5,1,6,21,3,4,8,2,6,5,10,7,3,3,9,0,6,6,6,1,9,3,6,6,2,4,3,1,5,8,9,30,1
"TIMP3",6,2,2,2,7,1,10,1,1,6,8,6,1,8,3,3,3,3,0,4,3,3,1,0,12,5,12,5,15,6,34,3,0,11,15,3,5,3,7,12,26,12,28,1,20,9,10,3,17,16,9,12,20,33,11,17,3,16,16,15,21,8,14,11,2,8,11,5,4,13,14,31,22,8,8,11,13,18,15,8,14,10,32,26,9,4,5,3,11,27,32,7,3
"TPI1",11,20,5,6,20,31,22,4,16,3,17,97,12,2,58,6,8,7,18,8,22,6,19,17,99,22,78,26,13,123,78,9,4,5,38,37,20,13,22,18,30,14,31,23,33,50,36,67,15,22,17,17,39,90,44,34,91,69,31,15,31,15,76,85,79,77,22,33,19,31,90,49,112,17,67,25,28,166,13,85,35,12,49,91,29,63,49,82,26,52,47,22,15
"TPM1",5,9,10,2,3,3,9,4,10,4,8,10,3,12,2,9,9,4,0,4,6,5,2,2,17,14,20,3,21,14,25,1,3,15,10,12,3,1,9,14,15,7,22,2,14,8,7,6,3,25,7,13,20,77,19,13,12,9,17,22,6,10,39,19,13,11,14,30,10,36,30,35,44,21,21,13,21,62,8,62,9,44,79,42,11,25,31,17,18,29,30,12,2
